step,loss,rank
5,1.647667121887207,8
10,1.739434814453125,8
15,1.6022361755371093,8
20,1.5312246322631835,8
25,1.5621962547302246,8
30,1.5630288124084473,8
35,1.4803112983703612,8
40,1.5047975540161134,8
45,1.447272777557373,8
50,1.4122922897338868,8
55,1.495243453979492,8
60,1.3721571922302247,8
65,1.488298416137695,8
70,1.3520730018615723,8
75,1.41769437789917,8
80,1.4015572547912598,8
85,1.454596710205078,8
90,1.4474849700927734,8
95,1.4368415832519532,8
5,1.6465679168701173,16
10,1.7267827987670898,16
15,1.5809784889221192,16
20,1.5024717330932618,16
25,1.5221875190734864,16
30,1.523855209350586,16
35,1.4549768447875977,16
40,1.4719234466552735,16
45,1.4150612831115723,16
50,1.3695042610168455,16
55,1.4538164138793943,16
60,1.3306846618652344,16
65,1.439865493774414,16
70,1.3058147430419922,16
75,1.3716347694396973,16
80,1.3603675842285157,16
85,1.4134111404418943,16
90,1.4074541091918946,16
95,1.3967387199401855,16
5,1.6405563354492188,64
10,1.6882028579711914,64
15,1.5252734184265138,64
20,1.4457537651062011,64
25,1.4596421241760251,64
30,1.472767448425293,64
35,1.38940486907959,64
40,1.3819562911987304,64
45,1.3448545455932617,64
50,1.2956083297729493,64
55,1.391179084777832,64
60,1.2690338134765624,64
65,1.375990104675293,64
70,1.228061866760254,64
75,1.280281925201416,64
80,1.2726311683654783,64
85,1.322508907318115,64
90,1.3177906036376954,64
95,1.3055717468261718,64
